
"Jaén, Instituto"

"Variable","Agosto",
"Máx. núm. de días de lluvia en el mes","6 (ago. 1926)",
"Máx. núm. de días de tormenta en el mes","6 (ago. 1926)",
"Prec. máx. en un día (l/m2)","53.8 (28 ago. 2013)",
"Prec. mensual más alta (l/m2)","58.8 (ago. 2013)",
"Prec. mensual más baja (l/m2)","0.0 (ago. 2014)",
"Racha máx. viento: velocidad y dirección (km/h)"," Vel 122,  Dir 270 (31 ago. 1978 14:45)",
"Tem. máx. absoluta (ºC)","42.0 (02 ago. 1957)",
"Tem. media de las máx. más alta (ºC)","38.0 (ago. 1923)",
"Tem. media de las mín. más baja (ºC)","17.1 (ago. 1977)",
"Tem. media más alta (ºC)","30.5 (ago. 1923)",
"Tem. media más baja (ºC)","24.3 (ago. 1977)",
"Tem. mín. absoluta (ºC)","11.0 (30 ago. 1922)",
